LAD19CD,Name,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
E06000032,Luton,NA,NA,NA,NA,NA,0.93,0.47,14.95,34.56,65.85,79.4,54.18,47.64,51.38,31.76,52.78,55.11,32.69,29.42,36.9,28.49,16.81,16.81,25.22,28.96,21.95,19.62,27.09,14.95,13.54,10.28,28.02,27.56,50.44,53.71
E06000033,Southend-on-Sea,NA,NA,NA,NA,NA,0.55,1.64,4.93,25.21,55.9,38.36,19.18,29.05,21.92,25.76,20.83,19.18,24.11,16.44,26.85,21.37,9.32,10.96,8.22,8.22,2.74,2.74,2.19,4.38,5.48,11.51,13.7,15.35,17.54,26.31
E06000034,Thurrock,NA,NA,NA,NA,NA,NA,1.74,11.01,29.56,44.63,39.99,24.92,33.04,23.76,17.97,18.55,11.01,11.59,16.81,14.49,11.59,6.96,3.48,6.96,5.22,4.64,1.16,2.9,6.96,5.22,5.22,11.59,12.17,12.75,21.45
E06000035,Medway,NA,NA,NA,NA,NA,0.72,3.6,7.92,26.63,51.11,58.3,40.67,34.91,38.87,32.39,20.87,16.56,6.48,7.56,6.12,10.08,5.04,5.76,5.04,4.68,4.32,5.04,1.44,1.08,4.68,3.96,8.28,7.56,11.16,13.32
E06000036,Bracknell Forest,NA,NA,NA,NA,NA,0.82,2.47,9.04,16.44,37.81,40.27,44.38,36.98,27.12,23.01,15.62,20.55,11.51,9.04,6.57,4.11,1.64,1.64,4.11,2.47,3.29,2.47,NA,6.57,5.75,6.57,19.72,25.48,13.15,20.55
E06000037,West Berkshire,NA,NA,NA,NA,NA,0.63,2.52,10.09,22.71,39.74,33.43,50.46,39.11,31.54,12.62,15.77,23.34,6.94,5.05,1.26,NA,1.26,1.26,1.89,4.42,5.68,4.42,1.26,5.68,6.94,6.94,9.46,5.68,13.88,17.03
E06000038,Reading,NA,NA,NA,NA,NA,0.61,4.29,8.58,26.96,42.89,58.21,93.14,65.56,53.92,31.25,22.67,21.45,13.48,12.87,5.51,1.84,5.51,2.45,5.51,6.74,7.35,3.68,4.29,6.74,11.03,12.87,20.83,9.8,9.8,23.28
E06000039,Slough,NA,NA,NA,NA,NA,2.68,16.1,20.12,38.23,39.57,52.98,58.35,41.58,51.64,24.81,13.41,8.72,7.38,8.05,12.07,13.41,10.06,8.05,5.37,4.69,4.69,12.74,18.78,16.1,12.74,11.4,21.46,22.13,27.5,61.03
E06000040,Windsor and Maidenhead,NA,NA,NA,NA,NA,0.66,9.94,15.24,24.52,31.81,30.48,37.11,26.51,22.53,15.9,10.6,11.27,9.28,11.27,3.31,1.99,1.33,0.66,3.98,3.98,5.3,3.31,5.3,8.61,25.84,13.92,20.54,45.06,18.55,23.19
E06000041,Wokingham,NA,NA,NA,NA,0.6,1.19,5.36,7.14,23.22,39.89,38.1,65.48,52.39,35.12,24.41,20.24,13.1,5.36,5.95,6.55,0.6,2.98,2.38,6.55,1.19,1.79,2.38,2.98,2.38,7.14,7.74,10.72,11.91,10.12,25
E06000042,Milton Keynes,NA,NA,NA,NA,NA,0.74,1.12,10.8,31.27,37.23,37.6,31.27,41.32,48.4,26.06,11.54,8.93,3.35,3.72,7.45,11.17,4.1,2.61,2.23,0.74,4.1,2.61,8.93,8.56,10.8,7.07,14.52,12.66,18.99,18.24
